%s already exists, %s موجود حالياً
%s already exist, %s موجودة حالياً
* Required Fields,* الخانات المطلوبة 
-- Please Select --, -- اختر من فضلك -- 
Admin User,مستخدم المشرف
Base directory,الدليل الأساسي 
Can't retrieve entity config: %s,Can't retrieve entity config: %s
Clear All,امسح الكل 
Clear All Items,امسح كل المنتجات
Code pools root directory,Code pools root directory
Compare Products (%d),قارن المنتجات (%d)
Cookie Domain, مجال Cookie
Cookie Lifetime,Cookie مدى الحياة 
Cookie Path,Cookie طريق
Cron (Scheduled Tasks) - all the times are in minutes,Cron (Scheduled Tasks) - all the times are in minutes
Filesystem,نظام الملفّات 
Invalid base dir type specified: %s,Invalid base dir type specified: %s
Keep your eyes open for our special Back to School items and save A LOT!,ابقي عينيك مفتوحة لعروضنا الخاصة بمناسبة العودة للمدارس و وفّر الكثير!
Media files directory,دليل ملفات وسائط الإعلام 
Search Engines Optimization,محركات البحث
Session files directory,Session files directory
Skin directory,دليل اللون
SMTP settings (Windows server only),SMTP إعدادات
Start date can't be greater than end date,تاريخ البداية لا يمكن أن يكون بعد تاريخ الإنتهاء
Target path for specified store,مسار الهدف لمتجر محدد
Telephone,الهاتف
This category and its child categories,هذه الفئة و فئاتها الثانوية
This category and its products,هذه الفئة ومنتجاتها
Submit,أرسل
Please select one of the options.,الرجاء اختيار أحد الخيارات.
Please select one of the above options.,الرجاء اختيار أحد الخيارات من الأعلى
Please select an option.,الرجاء تحديد الخيار 
Please use letters only (a-z) in this field.,الرجاء استعمال أحرف فقط (أ-ي)  في هذه الخانة 
Code,رمز
Invalid block name to set child %s: %s,Invalid block name to set child %s: %s
Controller file was loaded but class does not exist,تم تحميل الملف ولكن الصف غير موجود 
Set as default,عيّن كإفتراضي
Templates,قوالب 
Invalid transactional email code: ,رمز البريد الإلكتروني غير صالح:
Base Link URL,الرابط الأساسي URL 
Base JavaScript URL,الأساسي  JavaScript URL
Base URL,URL الأساسي 
Before modifying the website code please make sure that it is not used in index.php,"قبل تعديل التعليمات البرمجية للموقع, الرجاء التأكد من أنها لم تستخدم في الفهرس."
Before modifying the store view code please make sure that it is not used in index.php,"قبل تعديل طريقة عرض المتجر, الرجاء التأكد من أنها لم تستخدم في الفهرس."
